"EPCI_EPT","TYPO_IPCE","TYPO_INEG","TYPO_FREI"
"200069037","DEGP","Q5","DEG"
"200069052","DEG","Q5","MOY"
"200069060","FAV","Q3","MOY"
"200069086","FAV","Q2","MOY"
"200069094","MOY","Q2","MOY"
"200069102","FAV","Q1","FAV"
"200069110","FAV","Q2","FAV"
"200069128","FAV","Q2","MOY"
"200069136","MOY","Q5","FAV"
"200069144","FAVP","Q3","DEG"
"200069151","DEG","Q3","FAV"
"200069169","FAVP","Q1","MOY"
"200069177","FAVP","Q2","FAVP"
"200069185","FAV","Q3","FAVP"
"200069193","FAVP","Q1","DEG"
"200069227","MOY","Q5","MOY"
"200069235","MOY","Q5","DEG"
"200069250","MOY","Q1","DEG"
"200069268","FAVP","Q2","FAVP"
"200069300","MOY","Q3","MOY"
"200069383","MOY","Q3","MOY"
"200069391","FAVP","Q2","MOY"
"200069409","FAV","Q1","FAV"
"200069417","MOY","Q4","DEG"
"200069425","FAV","Q1","FAVP"
"200069433","DEG","Q4","DEGP"
"200069441","MOY","Q5","DEGP"
"200069458","MOY","Q1","FAV"
"200069482","MOY","Q5","DEG"
"200069516","FAVP","Q1","MOY"
"200069524","FAV","Q3","DEG"
"200069532","MOY","Q3","MOY"
"200069540","FAVP","Q2","MOY"
"200069565","FAVP","Q4","FAV"
"200069581","MOY","Q1","MOY"
"200069599","MOY","Q4","MOY"
"200069615","FAVP","Q2","FAV"
"200069623","FAV","Q3","FAV"
"200069631","FAV","Q2","MOY"
"200069649","MOY","Q4","MOY"
"200069656","DEG","Q5","DEG"
"200069664","MOY","Q4","DEG"
"200069672","DEGP","Q5","DEGP"
"200069698","MOY","Q1","FAVP"
"200069722","DEG","Q5","DEGP"
"200069730","MOY","Q3","DEG"
"200069748","FAV","Q3","MOY"
"200069755","MOY","Q4","MOY"
"200069763","FAV","Q2","MOY"
"200069821","DEG","Q5","MOY"
"200069839","DEG","Q5","MOY"
"200069847","MOY","Q5","DEG"
"200069854","MOY","Q1","FAV"
"200069912","MOY","Q2","DEGP"
"200069953","FAVP","Q1","MOY"
"200069961","MOY","Q2","MOY"
"200069995","DEG","Q4","DEG"
"200070035","DEG","Q3","FAV"
"200070043","MOY","Q3","MOY"
"200070068","MOY","Q4","MOY"
"200070092","MOY","Q3","MOY"
"200070100","MOY","Q4","MOY"
"200070118","FAVP","Q3","MOY"
"200070126","MOY","Q5","DEG"
"200070142","MOY","Q3","MOY"
"200070159","FAV","Q4","DEGP"
"200070167","FAV","Q2","DEGP"
